event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
2204,130,Sport,home, 59 ,Substitution, Ronaldo , Denner 
2205,130,Chapecoense,away, 62 ,Yellow card, Pablo Oliveira ,
2206,130,Chapecoense,away, 63 ,Substitution, Thomas , Felipe Ferreira 
2207,130,Chapecoense,away, 63 ,Substitution, Jonathan , Willian Popp 
2208,130,Chapecoense,away, 63 ,Substitution, Betinho , Pablo Oliveira 
2209,130,Sport,home, 68 ,Substitution, Gustavo Coutinho , Kayke 
2210,130,Sport,home, 68 ,Substitution, Wanderson , Sander 
2211,130,Sport,home, 69 ,Goal, Facundo Labandeira , Wanderson 
2212,130,Sport,home, 69 ,Substitution, Facundo Labandeira , Giovanni 
2213,130,Chapecoense,away, 75 ,Substitution, Chrystian Barletta , Matheus Bianqui 
2214,130,Sport,home, 76 ,Substitution, Chico , Fabio Alemão 
2215,130,Sport,home, 79 ,Yellow card, Ronaldo ,
2216,130,Chapecoense,away, 82 ,Substitution, Darlan , Marcelo Freitas 
2217,130,Sport,home, 83 ,Red card, Pedro Naressi ,
2218,130,Chapecoense,away, 91 ,Yellow card, Fernando ,
2219,130,Sport,home, 91 ,Yellow card, Gustavo Coutinho ,
2220,130,Chapecoense,away, 98 ,Yellow card, Jonathan ,
2221,131,Cruzeiro,away, 17 ,Goal, Luvannor Henrique , Lucas Oliveira 
2222,131,Cruzeiro,away, 32 ,Yellow card, Eduardo Brock ,
2223,131,Grêmio,home, 33 ,Yellow card, Rodrigo Ferreira ,
2224,131,Grêmio,home, 48 ,Goal, Diego Souza , Bitello 
2225,131,Cruzeiro,away, 54 ,Yellow card, Bruno Rodrigues ,
2226,131,Grêmio,home, 46 ,Goal, Bitello , Nicolas 
2227,131,Cruzeiro,away, 55 ,Yellow card, Chay ,
2228,131,Cruzeiro,away, 58 ,Substitution, Wesley Gasolina , Daniel Júnior 
2229,131,Cruzeiro,away, 58 ,Substitution, Rafael Silva , Chay 
2230,131,Grêmio,home, 62 ,Substitution, Guilherme , Ferreira 
2231,131,Grêmio,home, 68 ,Substitution, Thaciano , Bitello 
2232,131,Grêmio,home, 68 ,Substitution, Janderson , Gabriel Teixeira 
2233,131,Cruzeiro,away, 70 ,Second yellow card, Player 0 ,
2234,131,Cruzeiro,away, 70 ,Yellow card, Player 0 ,
2235,131,Cruzeiro,away, 73 ,Goal, Rafael Silva ,
2236,131,Cruzeiro,away, 75 ,Substitution, Lincoln , Luvannor Henrique 
2237,131,Grêmio,home, 79 ,Substitution, Jaminton Campaz , Natã 
2238,131,Grêmio,home, 79 ,Substitution, Elkeson , Diego Souza 
2239,131,Cruzeiro,away, 86 ,Substitution, Pablo Siles , Bruno Rodrigues 
2240,131,Cruzeiro,away, 86 ,Substitution, Willian Oliveira , Filipe Machado 
